id,parent,children,a_plus,conect,Tsim,Tdsim,pos,name,
,0,[0],"[1, 11, 14, 25, 30, 212, 488, 697, 783, 824]",1,True,1.0,0,0,sports-watch534,
,1,[0],"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12]",0,True,1.0,0,0,sports-watch399,
,2,[1],"[65, 67, 112, 126, 176, 193, 258, 288, 302, 408]",1,True,0.81,1.0,1,kaden-channel786,
,65,[2],"[575, 915, 995, 1045, 1090, 1538, 1872, 1983, 338, 394]",8,True,0.81,1.0,2,sports-watch171,
,575,[65],[],112,True,0.81,1.0,65,sports-watch303,
,915,[65],[678],575,True,0.81,1.0,65,sports-watch480,
,678,[915],[],1538,True,0.7290000000000001,1.5,915,sports-watch536,
,995,[65],[],575,True,0.81,1.0,65,sports-watch240,
,1045,[65],[],915,True,0.81,1.0,65,sports-watch651,
,1090,[65],[],1045,True,0.81,1.0,65,sports-watch126,
,1538,[65],[],915,True,0.7290000000000001,1.5,65,sports-watch761,
,1872,[65],[],915,True,0.81,1.0,65,sports-watch790,
,1983,[65],[965],1872,True,0.7290000000000001,1.5,65,sports-watch880,
,965,[1983],[],1872,True,0.81,1.0,1983,sports-watch704,
,338,[65],[],1872,True,0.81,1.0,65,sports-watch165,
,394,[65],[],1538,True,0.7290000000000001,1.5,65,sports-watch28,
,67,[2],"[1251, 1590, 1686, 1988, 2391, 581, 853, 260, 952]",65,True,0.81,1.0,2,sports-watch444,
,1251,[67],[],65,True,0.7290000000000001,1.5,67,sports-watch1,
,1590,[67],[],1251,True,0.7290000000000001,1.5,67,sports-watch199,
,1686,[67],[],1590,True,0.7290000000000001,1.5,67,sports-watch26,
,1988,[67],[],1590,True,0.7290000000000001,1.5,67,sports-watch178,
,2391,[67],[],1988,True,0.81,1.0,67,sports-watch354,
,581,[67],[],1988,True,0.81,1.0,67,sports-watch203,
,853,[67],[],2391,True,0.81,1.0,67,kaden-channel626,
,260,[67],[],1590,True,0.81,1.0,67,sports-watch795,
,952,[67],[],853,True,0.81,1.0,67,sports-watch756,
,112,[2],"[525, 921, 1041, 1401, 1466, 1487, 1840, 2462, 52, 521]",65,True,0.81,1.0,2,kaden-channel637,
,525,[112],[],126,True,0.81,1.0,112,sports-watch318,
,921,[112],[],525,True,0.81,1.0,112,sports-watch476,
,1041,[112],[],921,True,0.81,1.0,112,sports-watch279,
,1401,[112],[],1041,True,0.7290000000000001,1.5,112,sports-watch214,
,1466,[112],[],1401,True,0.81,1.0,112,sports-watch14,
,1487,[112],[],1466,True,0.81,1.0,112,sports-watch609,
,1840,[112],[],1041,True,0.7290000000000001,1.5,112,sports-watch506,
,2462,[112],[],1487,True,0.7290000000000001,1.5,112,sports-watch44,
,52,[112],[],921,True,0.81,1.0,112,sports-watch183,
,521,[112],[],1487,True,0.81,1.0,112,sports-watch477,
,126,[2],"[240, 861, 1546, 1646, 2325, 1569]",65,True,0.81,1.0,2,sports-watch3,
,240,[126],[],65,True,0.7290000000000001,1.5,126,sports-watch865,
,861,[126],[],240,True,0.81,1.0,126,sports-watch139,
,1546,[126],[],861,True,0.81,1.0,126,sports-watch253,
,1646,[126],[],1546,True,0.81,1.0,126,sports-watch25,
,2325,[126],[],861,True,0.81,1.0,126,sports-watch472,
,1569,[126],[],2325,True,0.81,1.0,126,sports-watch711,
,176,[2],"[412, 459, 572, 762, 1667, 1491, 2496, 1028, 1339, 1356]",67,True,0.81,1.0,2,sports-watch685,
,412,[176],[],193,True,0.81,1.0,176,sports-watch747,
,459,[176],[],412,True,0.7290000000000001,1.5,176,sports-watch374,
,572,[176],[],412,True,0.7290000000000001,1.5,176,sports-watch872,
,762,[176],[],412,True,0.81,1.0,176,sports-watch541,
,1667,[176],[],762,True,0.81,1.0,176,kaden-channel185,
,1491,[176],[],412,True,0.81,1.0,176,sports-watch562,
,2496,[176],[],1491,True,0.81,1.0,176,sports-watch362,
,1028,[176],[],1491,True,0.81,1.0,176,sports-watch481,
,1339,[176],[],412,True,0.81,1.0,176,sports-watch630,
,1356,[176],[],1028,True,0.81,1.0,176,sports-watch79,
,193,[2],"[672, 1622, 1973, 182, 919, 1668, 1926]",65,True,0.81,1.0,2,sports-watch290,
,672,[193],[],288,True,0.81,1.0,193,sports-watch694,
,1622,[193],[],672,True,0.81,1.0,193,sports-watch105,
,1973,[193],[],1622,True,0.81,1.0,193,sports-watch321,
,182,[193],[],672,True,0.81,1.0,193,sports-watch739,
,919,[193],[],182,True,0.81,1.0,193,sports-watch153,
,1668,[193],[],1973,True,0.81,1.0,193,sports-watch228,
,1926,[193],[],1668,True,0.81,1.0,193,sports-watch426,
,258,[2],"[1274, 2446, 1644]",126,True,0.81,1.0,2,sports-watch381,
,1274,[258],[],193,True,0.7290000000000001,1.5,258,sports-watch899,
,2446,[258],[],1274,True,0.81,1.0,258,sports-watch220,
,1644,[258],[],1274,True,0.81,1.0,258,sports-watch173,
,288,[2],"[419, 549, 909, 1471, 1544, 2064, 550, 2524, 576, 1693]",176,True,0.81,1.0,2,sports-watch690,
,419,[288],[],193,True,0.7290000000000001,1.5,288,sports-watch205,
,549,[288],[],419,True,0.81,1.0,288,sports-watch344,
,909,[288],[],549,True,0.7290000000000001,1.5,288,sports-watch878,
,1471,[288],[],549,True,0.81,1.0,288,sports-watch896,
,1544,[288],[],1471,True,0.7290000000000001,1.5,288,sports-watch193,
,2064,[288],[],909,True,0.81,1.0,288,sports-watch270,
,550,[288],[],909,True,0.81,1.0,288,sports-watch255,
,2524,[288],[],1544,True,0.81,1.0,288,sports-watch233,
,576,[288],[],2524,True,0.81,1.0,288,sports-watch532,
,1693,[288],[],550,True,0.7290000000000001,1.5,288,sports-watch208,
